id,classification,categories,text
KA-01085,submittable,311-33|311-12|311-68,"Noise from Bar, Club, or Restaurant. Report noise, including music, coming from a bar, club, or restaurant. Learn how mediation can help quality of life disputes between restaurants, bars,"
KA-01086,submittable,311-12,Noise from House of Worship. Report noise from inside a house of worship.
KA-01087,submittable,311-12,Noise from Dog or Other Animal. Report noise from a dog or other domestic animals.
KA-01088,submittable,311-12,Noise from Park. Report noise from a park.
KA-01089,submittable,311-12|311-114|311-68,Noise from Alarm. Report an alarm in progress or an alarm that goes off too often or for too long.
KA-01090,submittable,311-12,Noise from Store or Business. Report noise (other than an alarm or equipment) from a store or commercial location.
KA-01091,submittable,311-64|311-12,"Noise from Construction. Report noise from street or building construction, including jackhammer noise."
KA-01092,submittable,311-12|311-80|311-81,Noise from Street or Sidewalk. Report noise from the street or sidewalk.
KA-01093,submittable,311-81,Pothole or Cave-In on Street. Report a pothole or cave-in on a street.
KA-01094,unclear,311-35,City Claim. Report personal injury or property damage against the City or a City contractor including damage to a vehicle from a pothole.
KA-01095,submittable,311-81,Street Repair Complaint. Report damage to a street caused by street work.
KA-01096,submittable,311-12|311-81,Noise from Garbage Truck. Report noise from a City-owned garbage truck or a private carter.
KA-01097,submittable,311-12|311-81,Noise from Ice Cream Truck. Report music from an ice cream truck that isn't moving.
KA-01098,submittable,311-12|311-81,Noise from Intercity or Interstate Bus. Report noise from an intercity or interstate bus.
KA-01099,submittable,311-81,Street Resurfacing Request. Report a street in need of paving.
KA-01100,submittable,311-81,Pavement Marking Complaint or Request. Report missing or faded pavement markings (also known as street line markings) on a street or highway. Request brand new pavement markings.
KA-01101,submittable,311-12,Noise from Lawn Equipment. Report noise from lawn care equipment.
KA-01102,submittable,311-12|311-81,"Noise from Vehicle. Report noise from a vehicle, including horn honking, engine idling, or loud music."
KA-01103,submittable,311-33|311-62|311-61|311-94|311-60,Postal Service. Get information or make a complaint about United States Postal Service (USPS) products and services.
KA-01104,informational,311-23,One Shot Deal (Emergency Cash Help). Learn about short term emergency financial assistance for people in need.
KA-01105,informational,311-45,"Federal Government Jobs. Learn about federal government jobs, including civil service."
KA-01106,submittable,311-81,Pothole or Cave-In on Highway. Report a pothole or cave-in on a highway.
KA-01107,submittable,311-33|311-62|311-105|311-67|311-58|311-61|311-80|311-60,"Rat or Mouse Complaint. Report rats, mice, and conditions that might attract them."
KA-01109,submittable,311-67|311-66|311-58|311-68,Animal Bite. Report an animal that bit a person.
KA-01110,informational,311-62|311-67|311-58|311-61|311-60,"Pest Control Guidance. Learn about controlling rats, mice, and bugs and pest control training for the public and professionals."
KA-01111,submittable,311-33|311-58,"Food Safety Complaint. Report an unsanitary restaurant, deli, grocery, market, cafeteria, bakery, or facility where food is made or stored."
KA-01112,submittable,311-81|311-31,Adopt a Highway. Sponsor highway cleaning.
KA-01113,submittable,311-20|311-59|311-61|311-60,Affordable Housing Fee Fraud. Report being charged a fee to apply for housing sponsored by the Department of Housing Preservation and Development.
KA-01114,submittable,311-91|311-33|311-68,Airline Complaint. Report an airline safety or scale problem.
KA-01115,informational,311-61|311-60,Alternative Enforcement Program (AEP). Learn about a program to fix maintenance problems in distressed multiple dwellings.
KA-01116,informational,311-102,Alternative Schools and Programs. Learn about alternative paths to a diploma for at-risk students.
KA-01117,informational,311-56,Ambulance Patient Location. Find out which hospital an ambulance took a patient to.
KA-01118,unclear,311-89,"Amtrak Trains. Make a reservation, get travel information, or make a complaint about Amtrak trains."
KA-01119,submittable,311-33,Architect or Engineer Complaint. Report a problem with a registered architect or a professional engineer.
KA-01120,unclear,311-68,Arson Tips. Report that a fire may have been set deliberately.
KA-01121,informational,311-37|311-94,"Art Supplies. Apply for art, office, and household supplies for artists and cultural organizations."
KA-01122,informational,311-57,Asbestos Health Effects. Learn about the health effects of asbestos exposure.
KA-01123,submittable,311-64,Asbestos Work Notification. File the notification required to do work that disturbs asbestos.
KA-01125,submittable,311-56|311-29|311-28,Assisted Living Facility or Adult Home Complaint. Report a problem with an assisted living facility or adult home.
KA-01126,submittable,311-33,ATM Complaint. Report a problem with an automated teller machine (ATM).
KA-01128,submittable,311-112|311-33,Auto Repair Complaint. Report a problem with a car repair or inspection.
KA-01129,submittable,311-72|311-75|311-56,Autopsy Report. Get an autopsy report for a legal family member.
KA-01130,submittable,311-97|311-33,Bail Bond Agent Complaint. Report illegal business practices by a bail bond agent.
KA-01131,submittable,311-33,"Bank Complaint. Report a problem with a bank, credit union, lending institution, or safe deposit company."
KA-01132,informational,311-45,"Become a Firefighter, Emergency Medical Technician (EMT), or Paramedic. Learn about getting a job with the Fire Department."
KA-01133,informational,311-94,Become a Food Provider. Learn about becoming a Human Resources Administration (HRA) food pantry or soup kitchen.
KA-01134,informational,311-45,Nursing Jobs. Learn about nursing careers at public hospitals and health centers.
KA-01135,informational,311-45,Become a NYC Ferry Captain or Deckhand. Learn about getting a job as an NYC Ferry captain or deckhand.
KA-01136,informational,311-53|311-45,Become a Poll Worker. Learn about getting a job as a poll worker.
KA-01139,informational,311-64,"Billboard, Building Sign, or Awning Permit. Apply for billboard, building sign, and awning permits."
KA-01142,informational,311-38|311-36,"Brooklyn Cyclones. Learn about the Brooklyn Cyclones, including schedule and ticket information."
KA-01143,submittable,311-33|311-31,Charity Background Check or Complaint. Request a review of a charity organization or report a problem with one.
KA-01144,informational,311-25|311-84,Child Tax Credits. Learn about the federal Child Tax Credit (CTC) and other Child and Dependent Care Tax Credits.
KA-01145,submittable,311-24|311-55,Child Health Plus Complaint. Report a problem with a Child Health Plus assistant.
KA-01146,informational,311-95,Cigarette Wholesaler License. Apply for a license to stamp cigarette packages for sale.
KA-01147,submittable,311-107|311-68,City Claim Fraud. Report a false or fraudulent claim against the city.
KA-01148,submittable,311-108,City Comptroller Complaint. Report a problem with the City Comptroller.
KA-01149,unclear,311-78|311-109,City Council Transcript. Request a New York City Council meeting transcript.
KA-01150,informational,311-45,City Employment Verification. Learn about employment verification for past and current New York City government employees.
KA-01151,informational,311-49,"City Environmental Quality Review. Get a Technical Manual to assist City Agencies, project sponsors, and the public in conducting environmental review of projects in the City."
KA-01152,unclear,311-39,City Hall Tours. Request a reservation to visit City Hall.
KA-01153,informational,311-35|311-77|311-68,City Marshal Bonds. Learn about the bonds filed by New York City Marshals.
KA-01154,submittable,311-35|311-110,City Marshal Complaint. Report a problem with a city marshal.
KA-01156,informational,311-109,City Record Newspaper. Learn about a daily newspaper published by the Department of Citywide Administrative Services.
KA-01157,submittable,311-43,City University of New York (CUNY) Admissions Complaint. Report a problem with the CUNY Admissions Processes.
KA-01158,submittable,311-107|311-111|311-114,City Vehicle Complaint. Report an issue with a City vehicle.
KA-01160,informational,311-64,City-Owned Property. Learn about the ownership of City-owned property.
KA-01161,unclear,311-46,Citywide Training Center. Get training and professional development opportunities for City employees.
KA-01162,informational,311-43,"College Savings Programs. Learn about programs to save for college tuition, including the NYC Kids RISE (""baby bonds"") and NY 529 programs."
KA-01163,informational,311-43,"CUNY Special Programs. Learn about counseling, remedial instruction, and tutorial services for CUNY college students."
KA-01164,unclear,311-96,Construction Vendor Prequalification Application. Apply to prequalify to become a Department of Design and Construction vendor.
KA-01165,submittable,311-46|311-69|311-94,Corporate Emergency Access System (CEAS) Program. Get ID Cards for critical business employees to enter restricted areas after an emergency.
KA-01166,submittable,311-94,Corporation Dissolution. Learn how to dissolve a corporation that has conducted business in New York City.
KA-01167,informational,311-35|311-99|311-94,Correctional Facility Pass for Attorneys. Get a pass for lawyers and investigators to visit clients at correctional facilities.
KA-01168,submittable,311-68,Counterfeit Money. Report counterfeit United States currency.
KA-01169,informational,311-64,Crane and Derrick Permit. Apply for a permit to operate or install equipment used to hoist or lift objects.
KA-01170,unclear,311-25,Cribs for Families in Need. Get a free crib for your child if you can't afford one.
KA-01171,unclear,311-35,"Criminal Court. Get locations, hours, arrests, case status, appeals, bail, summonses, and domestic violence services for Criminal Courts."
KA-01172,submittable,311-56|311-30,Crisis Support for Veterans. Get help for veterans in crisis.
KA-01173,informational,311-94|311-47,Cross Connection and Water Backflow Prevention. Learn about the cross connection or water backflow program and business requirements.
KA-01174,informational,311-37|311-94,Cultural Program Grant. Apply for a grant for a non-profit cultural program.
KA-01175,unclear,311-37|311-96,Cultural Project Funding. Learn how the City spends money on cultural projects.
KA-01176,informational,311-107|311-29,Department for the Aging Presentation or Training. Request a Department for the Aging speaker or participation in an event.
KA-01177,informational,311-64|311-68,Department of Buildings Document Fraud. Report someone using false information to file for a Department of Buildings (DOB) document.
KA-01178,submittable,311-94,Department of Consumer and Worker Protection License and Complaint Sign. Request a sign that licensed businesses must post for customers.
KA-01179,submittable,311-33|311-96,Department of Consumer and Worker Protection Public Outreach. Request a Consumer and Worker Protection speaker or participation in an event.
KA-01181,informational,311-64,Department of Design and Construction (DDC) Services and Projects. Learn about general services and initiatives or report a problem or get information for a specific Department of Design and Construction project.
KA-01182,informational,311-107|311-49,Department of Environmental Protection Public Outreach. Request a Department of Environmental Protection speaker or participation in an event.
KA-01183,submittable,311-107,"NYC Health Department Clinic Feedback. Make a complaint, give a compliment, or make a comment about a clinic run by the NYC Health Department."
KA-01184,informational,311-107|311-57,NYC Health Department Public Outreach. Request an NYC Health Department speaker or participation in an event.
KA-01186,submittable,311-51|311-50,"Department of Sanitation Vehicle Accident. Report an accident or property damage involving a garbage truck, snow plow, or other City sanitation vehicle."
KA-01187,unclear,311-108,Governor. Learn how to contact New York State Governor Kathy Hochul or her staff.
KA-01188,informational,311-68,Hazardous Materials. Learn about hazardous materials and how to dispose them.
KA-01189,informational,311-94,Health Academy Registration Assistance. Get help with the Health Academy Registration System.
KA-01190,informational,311-21,Homeless Person or Family Contact. Contact a homeless adult or family in a shelter.
KA-01191,informational,311-62|311-59,HUD-Owned Buildings. Learn about residential buildings that are offered for sale to the public by the Department of Housing and Urban Development.
KA-01192,informational,311-103,"Learn & Earn Program. Get help for high school juniors and seniors with graduating and preparing for employment, college, or both."
KA-01193,informational,311-96,Lease or Buy City Property. Learn about renting or purchasing City-owned property for private use.
KA-01195,submittable,311-98,Letter of Incarceration. Request jail release or discharge papers for former or current incarcerated people to document the time in jail.
KA-01196,informational,311-96,Locally Based Enterprises (LBE) Program. Learn about a certification program for small construction and construction-related firms that want to do business with the City of New York.
KA-01197,submittable,311-50,Lost Item in Trash. Report an item lost in trash that has been collected by the Department of Sanitation.
KA-01198,submittable,311-33|311-56,Managed Care Complaint. Report a problem with medical treatment received from managed care plans.
KA-01199,informational,311-68,"Military Draft Registration. Register to be eligible for the military draft, in case a draft becomes necessary."
KA-01200,submittable,311-33,Money Transmitter Complaint. Report a problem with a licensed money transmitter business.
KA-01201,submittable,311-33|311-62|311-61,Mortgage or Loan Company Complaint. Report a problem with a mortgage or loan company.
KA-01202,informational,311-112|311-33,National Gas Price Trends. Learn about national trends in gas prices.
KA-01203,informational,311-31,National Service Program. Learn about National Service programs.
KA-01204,informational,311-108,Public Advocate. Learn about and contact the elected official who reviews and investigates complaints about City services.
KA-01205,informational,311-94,SNAP for Retailers. Apply for your store to accept SNAP benefits from customers.
KA-01206,informational,311-95,"Spray Booth Permit. Apply for a required permit for the installation of booths used with spraying of paints, lacquers, varnishes, and other surface coatings."
KA-01207,informational,311-68,Volunteer Firefighter Background Check. Learn about criminal history checks for volunteer fire department applicants.
KA-01208,informational,311-36|311-31,Volunteer in Parks. Help care for City parks and recreational facilities.
KA-01209,informational,311-94|311-31,Volunteer Program Management. Get resources for volunteer organizations.
KA-01210,submittable,311-64,Vacant Lot Complaint. Report a vacant lot that is dirty or not fenced.
KA-01211,submittable,311-89,Long Island Rail Road. Get information or make a complaint about the Long Island Rail Road (LIRR).
KA-01212,submittable,311-89,Metro-North Railroad. Get information or make a complaint about the Metro-North Railroad.
KA-01213,submittable,311-89,New Jersey Transit. Get information or make a complaint about the New Jersey Transit bus and train system.
KA-01214,submittable,311-89,PATH Trains. Get information or make a complaint about train service between Manhattan and New Jersey.
KA-01215,informational,311-89,Port Authority Buses. Learn about the Port Authority Bus Terminal and the George Washington Bus Station.
KA-01216,emergency,311-46|311-27|311-28|311-68|311-60,"Harassment. Call 911 to report any type of harassment, including sexual harassment, cat calling, and voyeurism."
KA-01217,unclear,311-25|311-35|311-68,"Domestic Violence. Report domestic violence or get counseling, support, and shelter for victims."
KA-01218,submittable,311-89,Staten Island Railway. Get information or make a complaint about the Staten Island Railway.
KA-01219,emergency,311-68,Stolen Property. Call 911 to report stolen property.
KA-01220,submittable,311-114|311-68,Vehicle Accident. Report a car accident.
KA-01221,unclear,311-25|311-68,Child Abuse. Report possible child abuse or neglect.
KA-01223,informational,311-108,"Elected Officials. Find out who your City, State, and Federal elected officials are and how to contact them."
KA-01224,informational,311-107,"City Agency Commissioners and Mayor's Senior Staff. Contact Agency Commissioners, Deputy Mayors, and other members of the Mayor's Senior Staff."
KA-01226,unclear,311-107|311-108,"Mayor. Submit opinions and suggestions for the Mayor, including those about City government processes."
KA-01227,submittable,311-98,Incarcerated Person Medical Concern. Get medical attention for an incarcerated person in Department of Correction custody.
KA-01228,informational,311-84,State Tax. Learn how to file and pay taxes collected by New York State.
KA-01229,informational,311-91|311-70,"Passports. Apply for, renew, replace, or update a United States passport."
KA-01230,submittable,311-79|311-113,Tunnels. Get information or make a complaint about a tunnel.
KA-01231,informational,311-68,Lost or Found Property. Report lost or found property.
KA-01232,submittable,311-80,Lost Item in Sidewalk Grating. The City does not retrieve items that have fallen into sidewalk gratings.
KA-01233,submittable,311-80|311-81,Water Main Break. Report a possible water main break.
KA-01234,submittable,311-80|311-81,Water Leak on Street or Sidewalk. Report water leaking on a street or sidewalk.
KA-01235,submittable,311-81,Manhole Flooding. Report a manhole that is overflowing with water or sewage.
KA-01236,submittable,311-62|311-105|311-67|311-61|311-60,Bed Bug Complaint. Report bed bugs.
KA-01237,submittable,311-12|311-81,"Highway Plate Complaint. Report a shifted, missing, or broken steel plate on a highway."
KA-01238,informational,311-111,ParkNYC Parking Payment. Pay for street parking using a mobile app or website.
KA-01239,informational,311-111,Parking Meters. Learn about metered parking.
KA-01240,submittable,311-111,Parking Meter Complaint or Request. Report a problem with a parking meter or request a refund. Request a new parking meter or removal or relocation of an existing parking meter.
KA-01241,submittable,311-33|311-90,"Taxi Complaint. Report a problem with a taxi driver or vehicle, including rudeness, unsafe driving, refusing a request, maintenance issues, or route complaints."
KA-01242,informational,311-115|311-111|311-28,"State Parking Permit for People with Disabilities. Apply for, renew, or report a problem with a New York State Parking Permit for People with Disabilities."
KA-01243,informational,311-115|311-111|311-28,"City Parking Permit for People with Disabilities. Apply for, renew, or report a problem with a New York City Parking Permit for People with Disabilities."
KA-01244,submittable,311-33|311-90,"Car Service Complaint. Report a problem with a limousine, ambulette, Access-A-Ride taxi, black cab, or car service company."
KA-01245,unclear,311-90,"Taxis. Get general information about taxis, including fares and rules."
KA-01247,informational,311-64|311-62|311-74|311-61,Borough-Block-Lot (BBL) Lookup. Get the Borough Block Lot (BBL) or parcel number for a specific address.
KA-01248,informational,311-62|311-85|311-61,Property Tax Payment Plan. Request an agreement to pay property tax debt in installments.
KA-01250,informational,311-64|311-62|311-74|311-85|311-61,"Property Value and Assessment. Learn about a property's values, tax class, exemptions, and descriptions."
KA-01251,informational,311-62|311-85|311-61,Property Tax Payment Assistance. Get help with a property tax payment problem.
KA-01252,informational,311-62|311-85|311-61,Property Tax Bill. Learn about property tax bills and get copies and account information.
KA-01253,informational,311-62|311-85|311-61,Property Tax Payment. Pay a property tax bill.
KA-01254,informational,311-64,Abandoned Property. Learn about a list advertising abandoned properties.
KA-01255,informational,311-71,Adoption Records. Get a record of a child's adoption.
KA-01256,informational,311-45,Become a Correction Officer. Learn about getting a job as a correction officer.
KA-01257,informational,311-45,Become a Lifeguard. Learn about getting a job as a lifeguard at a public beach.
KA-01258,informational,311-99|311-58,Behavioral Health and the Criminal Justice System Task Force. Learn about the task force to reduce the unnecessary arrest and incarceration of people with behavioral health issues.
KA-01259,informational,311-29,Benefits Guide for Older Adults. Download a brochure about resources and services for people age 60 and older.
KA-01260,submittable,311-92|311-36|311-81,Bike Lane. Report a maintenance issue with an on-street bike lane or request a new bike lane.
KA-01261,informational,311-38|311-36|311-81,"Block Party, Street Fair, or Event Permit. Apply for a permit to hold a block party, street fair, parade, or other event on a City street or sidewalk."
KA-01262,informational,311-61,"Property Management and Maintenance Resources. Learn about building management and maintenance resources for property owners, managing agents, superintendents, or contractors."
KA-01263,informational,311-60,Building Ownership. Find out who owns a building.
KA-01264,informational,311-63|311-33,"Buildings Information System (BIS). Learn about building information, past or current construction jobs, and skilled trade license and general contractor status from DOB's BIS."
KA-01265,submittable,311-80|311-81,Bus Stop Request. Request a new bus stop or relocation of an existing bus stop.
KA-01266,informational,311-94,"Business Improvement District (BID) Guide. Learn about resources for Business Improvement Districts (BID), including how to make one."
KA-01268,submittable,311-33,Cell Phone Number Portability. Learn how to keep your cell phone number when you change phone carriers.
KA-01269,informational,311-94|311-60,"Child Care Business Pathways for NYCHA Residents. Learn about Childcare Business Pathways, a 15-week program that works directly with NYCHA residents to help them launch in-home childcare businesses."
KA-01270,informational,311-78|311-107|311-109,City Agency Performance. Learn about City agency performance.
KA-01271,submittable,311-108,City Council Member Complaint. Report a problem with a City Council Member.
KA-01273,informational,311-109,City Government Spending. Learn about New York City government spending.
KA-01274,informational,311-109,"City Laws. Learn about New York City Charter, the Administrative Code of the City of New York, and the Rules of the City of New York."
KA-01275,informational,311-46,City-Subsidized Project Living Wage Increase. Learn about an increase in the City's living wage for subsidized projects.
KA-01276,informational,311-78|311-107|311-109,Citywide Performance Reporting. Learn about reports and statistics related to City services.
KA-01277,informational,311-94,Commercial Lease Assistance. Get support and legal help for small businesses with commercial lease related issues.
KA-01280,informational,311-64,"Construction Site Sign Requirements. Learn about required signs for construction sites, demolition sites, and sidewalk sheds."
KA-01281,unclear,311-35,Court and Trust Fund Claim. Claim money from the Court and Trust Fund Account.
KA-01282,unclear,311-57|311-68,CPR and AED Training. Take a free class in Cardiopulmonary Resuscitation and Automated External Defibrillator.
KA-01283,submittable,311-80|311-81,Crosswalk Request. Request a new crosswalk on a street.
KA-01284,submittable,311-39|311-81,Purchase a Street Sign. Purchase a limited-edition commemorative New York City Street sign.
KA-01286,informational,311-94,Dental Amalgam Separator Registration. Register to install a dental amalgam separator.
KA-01287,informational,311-107|311-51|311-50,Department of Sanitation Public Outreach. Request for a Department of Sanitation speaker or participation in an event.
KA-01288,submittable,311-51,"Sanitation Sign Request. The City no longer accepts requests for No Dumping, Clean Up After Dog, and No Littering signs."
KA-01289,informational,311-64,Development or Zoning Challenge. Learn about how to challenge the approval of a construction project.
KA-01290,informational,311-64,Affordable Housing Development and Preservation Financing. Learn about low-cost financing options for new construction and rehabilitation of former publicly-owned buildings.
KA-01291,informational,311-39,Directory Assistance. Get the phone number or address of a specific person or business.
KA-01293,informational,311-25|311-35|311-68,Domestic Violence Offender Counseling. Find classes for an abuser court-ordered to get counseling.
KA-01294,submittable,311-63|311-95,Electrical Inspection. Schedule an inspection of work done by a licensed electrician.
KA-01295,informational,311-69,Emergency Notification. Learn about a program that sends messages about local emergencies to your phone.
KA-01296,informational,311-56,Enterovirus. Learn about the Enterovirus EV-D68 virus which can cause respiratory illness.
